Molecule,Cluster,data,Cluster_center,Distance_to_center
392,6,[-0.1929221106632938 -0.2050650757599957  0.2385941978286327 -0.3926965426679422 -0.1306286402031516 -0.1243806269582866],[ 0.0589208866864511 -0.1397863819120101  0.2121108171414704  0.0395683673362916 -0.1371684035781138 -0.0072239614691663],0.5186607540885683
393,6,[ 0.5333035864500071 -0.2106472337882201  0.1784223892927982  0.2015492120810735 -0.1985625524507427 -0.082369240415803 ],[ 0.0589208866864511 -0.1397863819120101  0.2121108171414704  0.0395683673362916 -0.1371684035781138 -0.0072239614691663],0.5165742588074758
394,10,[ 0.5523719752208065  1.210747738328537   0.0212518875176451  0.4888493560353759  0.6027135262132228 -0.0542888823549485],[ 0.6985313220607818  0.5837756918733803 -0.0715880076418492  0.4227803332620669  0.1174169186465211  0.0030208012292998],0.8162340722835437
395,1,[ 0.6528070959379197  0.1499148871194377 -0.0292918123140727 -0.0974049550551418 -0.1054718347122033 -0.1566941298834731],[ 0.4045635053699478  0.1633122351693821  0.0620768454071855 -0.171515005959498  -0.0463642443932943  0.0173034384598071],0.33077751053293114
396,9,[ 1.5908134880709643  0.1761012511036621 -0.1076151402628697  0.5114413671874884 -0.0764074963909062 -0.1425676505099301],[ 1.0249375702805263 -0.2630914415323961  0.0443537806600736  0.0235291378518894 -0.0220821830208652 -0.0204219761996998],0.8900165602320294
397,8,[-0.3712757008485092  0.0295173776601324 -0.53898884902686    0.0561753177363437  0.1909265234083753 -0.0285650654251968],[-0.2072538130265835  0.0132884858134406 -0.6015257863188352 -0.1686197451880603  0.0739059383068204 -0.0065723278441814],0.3094959503775531
398,2,[-0.2629887183396466  0.4742234462117948 -0.2417825413290056 -0.1638644833402688 -0.0098227666638075  0.1720166402720195],[-0.3131634177773258  0.2059485104194073 -0.0513225718578879 -0.1428040027980441 -0.1984517697672429  0.0684714651178523],0.39687528212170453
399,8,[ 0.1980399884418203  0.1034799900377164 -0.4054672109389434 -0.0605406834028072  0.2537756816032132 -0.1231277031105992],[-0.2072538130265835  0.0132884858134406 -0.6015257863188352 -0.1686197451880603  0.0739059383068204 -0.0065723278441814],0.5181273024810858
400,10,[ 0.9574620673977596  0.7875810599258323 -0.186055442192805   0.3943887768682856  0.0877833689961392 -0.0613630609334612],[ 0.6985313220607818  0.5837756918733803 -0.0715880076418492  0.4227803332620669  0.1174169186465211  0.0030208012292998],0.3570911115482601
401,1,[ 0.6657667647019067 -0.1089704648309459 -0.108479375014357  -0.2595796319456412  0.3186273576065219  0.1841393984838789],[ 0.4045635053699478  0.1633122351693821  0.0620768454071855 -0.171515005959498  -0.0463642443932943  0.0173034384598071],0.5833205989567093
402,9,[ 0.8191538649700915 -0.4083898240357726 -0.2418834714892086 -0.065213554831196   0.136126139588003   0.0270829319224165],[ 1.0249375702805263 -0.2630914415323961  0.0443537806600736  0.0235291378518894 -0.0220821830208652 -0.0204219761996998],0.42491431252713546
403,0,[-0.5889962686131072 -0.0708535077275665  0.0877722770597666 -0.0121626490669157 -0.290319077462572   0.1045928533118465],[-0.4800995273776051 -0.0347354484496296  0.3389326096056138  0.0402329713155894 -0.0395605428413141  0.0068416061402701],0.38913362376762545
404,7,[-0.7292800551770469 -0.3095904823379078 -0.2048873647718563 -0.4280178623763435  0.1030733337714431 -0.1893492218830509],[-0.6045306406434975 -0.4361136403049469 -0.2273370402557333  0.1603867833461044  0.0683952005116491 -0.0124250301664179],0.6409362554158364
405,6,[-0.0673411726786279  0.0103878307468596  0.1883087271884217 -0.0668485764331556 -0.1543282246000693  0.1207064513644249],[ 0.0589208866864511 -0.1397863819120101  0.2121108171414704  0.0395683673362916 -0.1371684035781138 -0.0072239614691663],0.25893272712321136
406,0,[-0.553910910991344  -0.1116368718411207  0.2100271494496082  0.1032458589736191 -0.1421079846039612  0.1087322978586322],[-0.4800995273776051 -0.0347354484496296  0.3389326096056138  0.0402329713155894 -0.0395605428413141  0.0068416061402701],0.22988449667290906
407,2,[-0.4326240303219423  0.1292093728970588 -0.1750229585913614 -0.1580136471940213 -0.3257538595898437  0.0888968414710042],[-0.3131634177773258  0.2059485104194073 -0.0513225718578879 -0.1428040027980441 -0.1984517697672429  0.0684714651178523],0.22872662768082191
408,3,[-0.3198433148991456  0.3089236221008562  0.2469210213131276 -0.1281417420268967 -0.066377863424336  -0.0866157809961094],[-0.1805278618656835  0.3700275025803318  0.2205971826750172 -0.2147626700768268  0.0611885440545909 -0.1351215955271372],0.2235276530562681
409,0,[-0.4461979626527861  0.1617071644908233  0.3055280035865636  0.0397592736660643 -0.0345440914257076 -0.0188468520733618],[-0.4800995273776051 -0.0347354484496296  0.3389326096056138  0.0402329713155894 -0.0395605428413141  0.0068416061402701],0.203814057495094
410,2,[-0.2731690228678717  0.330051318026494   0.0899240946706562 -0.2745819622900758 -0.116231354148736   0.2105819908953455],[-0.3131634177773258  0.2059485104194073 -0.0513225718578879 -0.1428040027980441 -0.1984517697672429  0.0684714651178523],0.28508368626541886
411,0,[-0.396517899114116   0.0958232355364888  0.219700889455346  -0.128706307474416  -0.1381720920361805  0.1627245145689511],[-0.4800995273776051 -0.0347354484496296  0.3389326096056138  0.0402329713155894 -0.0395605428413141  0.0068416061402701],0.31750883504280364
412,2,[-0.439198637147064   0.1027456136409164 -0.0115839315525036 -0.1267181149501916 -0.2809407602114611  0.0780178320935286],[-0.3131634177773258  0.2059485104194073 -0.0513225718578879 -0.1428040027980441 -0.1984517697672429  0.0684714651178523],0.18780094891444216
